category	key	partner	quest_id	ja	zh
4字連続	12290_FinishingDlgs_Index15_Text	滌罪僧	12290	欒嬢は重い病を患っており、大還丹で治療が必要です。滌罪大師、円覚方丈にこの霊薬を賜るようお願いできませんでしょうか？	栾姑娘身负恶疾，需大还丹救治，涤罪大师可否请圆觉方丈赐此灵药？
4字連続	14014_RequestDlgs_Index3_Text	智武	14014	少林寺はやはり人傑地霊、臥虎蔵龍ですね！	少林果然是人杰地灵，卧虎藏龙啊！
4字連続	17321_FinishingDlgs_Index1_Text	None	17321	至人無己、神人無功、聖人無名……	
4字連続	17322_FinishingDlgs_Index1_Text	None	17322	至人無己、神人無功、聖人無名……これはもしや長生殿の武学総綱か？	至人无己，神人无功，圣人无名……这莫非是长生殿武学总纲？
4字連続	20004_FinishingDlgs_Index2_Text	傍白	20004	……今や少林は円悟大師が方丈の座を継ぎましたが、法事の後、天剣宗の者が果たし状を差し出しました。そこには天剣少宗主、氷輪無欠・肖寒光が来月少林と剣術の決戦を行うと記されています。	……如今少林已由圆悟大师接任方丈之位，只是法事过后，遇天剑宗之人递上战帖，帖上言天剑少宗主冰轮无缺·肖寒光，要在下月与少林剑决。
4字連続	22447_FinishingDlgs_Index0_Text	None	22447	円難禅師、円悟方丈の容態はいかがですか？	圆难禅师，圆悟方丈他情况如何？
4字連続	22448_FinishingDlgs_Index0_Text	None	22448	円難禅師、円悟方丈の容態はいかがですか？	圆难禅师，圆悟方丈他情况如何？
4字連続	22449_FinishingDlgs_Index0_Text	None	22449	円難禅師、円悟方丈の容態はいかがですか？	圆难禅师，圆悟方丈他情况如何？
4字連続	22450_FinishingDlgs_Index0_Text	None	22450	円難禅師、円悟方丈の容態はいかがですか？	圆难禅师，圆悟方丈他情况如何？
4字連続	28754_FinishingDlgs_Index0_Text	None	28754	修行の際には<Y>心清神静、霊台清明</>を保ち、《青雲梯》と共に悟りを開きましょう。	修行之时需保持<Y>心清神静、灵台清明</>，与《青云梯》一并参悟吧。
4字連続	30142_FinishingDlgs_Index0_Text	None	30142	弟子宇文逸、道微師叔にご挨拶申し上げます。師叔はどのようなご用件で弟子をお呼びでしょうか？	弟子宇文逸，见过道微师叔，不知师叔因何事找寻弟子？
4字連続	11832_1_Dlgs_Index6_Text	王員外	11832	一枚二千、合計一万、一銭たりとも減らせません。	一张两千，共计一万，一分也不能少。
4字連続	11912_3_Dlgs_Index10_Text	上官虹	11912	虹姑娘の言う通りだ。武道の道は殊途同帰、白帝剣器だけが天人合一の境地に至る唯一の方法ではない。ならば、白帝剣器を達成する方法も、当然一つだけではないだろう。	虹姑娘说得没错，武道之路殊途同归，白帝剑器并不是通向天人合一之境的唯一方法，那么达成白帝剑器的方法，自然也不会只有一条路。
4字連続	12117_6_Dlgs_Index5_Text	呂仙児	12117	彼らは姑蘇の煙柳画橋、風簾翠幕を羨み、姑蘇の市列珠玑、戸盈羅綺を羨んでいる。	他们羡慕姑苏的烟柳画桥、风帘翠幕，羡慕姑苏的市列珠玑，户盈罗绮。
4字連続	12117_7_Dlgs_Index5_Text	呂仙児	12117	彼らは姑蘇の煙柳画橋、風簾翠幕を羨み、姑蘇の市列珠玑、戸盈羅綺を羨んでいる。	他们羡慕姑苏的烟柳画桥、风帘翠幕，羡慕姑苏的市列珠玑，户盈罗绮。
4字連続	12232_11_Dlgs_Index0_Text	None	12232	では……掌門恩師、弟子宇文逸、失礼いたします。	那……掌门恩师，弟子宇文逸告退。
4字連続	12232_3_Dlgs_Index0_Text	None	12232	弟子宇文逸、掌門恩師にご挨拶申し上げます。	弟子宇文逸，见过掌门恩师。
4字連続	12233_11_Dlgs_Index0_Text	None	12233	では……掌門恩師、弟子宇文逸、失礼いたします。	那……掌门恩师，弟子宇文逸告退。
4字連続	12233_3_Dlgs_Index0_Text	None	12233	弟子宇文逸、掌門恩師にご挨拶申し上げます。	弟子宇文逸，见过掌门恩师。
4字連続	12897_4_Dlgs_Index3_Text	冷鷹	12897	では<Y>浄土極楽、神国万世</>は？	那<Y>净土极乐，神国万世</>呢？
4字連続	13253_4_Dlgs_Index0_Text	None	13253	これには……菩提薩埵、般若波羅蜜多に依るが故に、心に罣礙なし……	这上面……菩提萨埵，依般若波罗蜜多故，心无挂碍……
4字連続	16078_4_Dlgs_Index7_Text	飛蝎使-娜烏	16078	ええと……《受之有愧、却之不恭》でしょうか？	呃……受之有愧，却之不恭？
4字連続	16303_2_Dlgs_Index15_Text	蓮芯	16303	兵燹非災、禍神為佑……やはりこれは兵禍一派の令牌なのか？	兵燹非灾，祸神为佑……这果然是兵祸一脉的令牌吗？
4字連続	17543_2_Dlgs_Index3_Text	None	17543	大道五十、天衍四九、人遁其一。この遁去した《一》こそが天機であり、また《道》とも言えるでしょう。	大道五十，天衍四九，人遁其一，此遁去之一，即为天机，亦可谓之为道。
4字連続	20515_3_Dlgs_Index0_Text	None	20515	弟子宇文逸、清霄師伯と二人の師兄にお目にかかります。	弟子宇文逸，见过清霄师伯与二位师兄。
4字連続	20516_3_Dlgs_Index0_Text	None	20516	弟子宇文逸、清霄師伯と二人の師兄にお目にかかります。	弟子宇文逸，见过清霄师伯与二位师兄。
4字連続	22029_1_Dlgs_Index0_Text	None	22029	清霄師伯、円難大師にお目にかかります。	见过清霄师伯、圆难大师。
4字連続	22177_6_Dlgs_Index0_Text	None	22177	はい！天仏窟の外は神侯と円悟方丈にお任せします！莫棄師兄、元啓師兄、行きましょう！	嗯！天佛窟外便有劳神侯与圆悟方丈了！莫弃师兄、元启师兄，我们走吧！
4字連続	22178_6_Dlgs_Index1_Text	左江龍	22178	はい！天仏窟の外は神侯と円悟方丈にお任せします！莫棄師兄、元啓師兄、行きましょう！	嗯！天佛窟外便有劳神侯与圆悟方丈了！莫弃师兄、元启师兄，我们走吧！
4字連続	22311_2_Dlgs_Index0_Text	None	22311	莫棄師兄、欧陽荘主、盟主のお世話をお願いします。	莫弃师兄、欧阳庄主，劳你们照看好盟主。
4字連続	22327_4_Dlgs_Index0_Text	None	22327	円覚方丈はあなたを一度も疑いませんでした。円悟方丈、滌罪大師、この竹簡を見た者で、私以外に疑った者はいません。そして今、私もようやく、彼らがなぜ禅師をこれほどまでに信頼していたのかを知りました。	圆觉方丈从未怀疑过你，圆悟方丈、涤罪大师，看过这份竹简的人，除我之外，都不曾怀疑过你，而如今，我也终于知道他们为何如此信任禅师。
4字連続	23048_2_Dlgs_Index7_Text	滌罪僧	23048	滌罪大師、円慧禅師がここで達磨武経を悟ったのですから、ここにはそれに関連する手がかりが残されているかもしれません。ここで探してみましょう。	涤罪大师，圆慧禅师既在这里领悟达摩武经，这里或许会有与此相关的线索留下，我们就在这里找寻看看吧。
4字連続	23051_1_Dlgs_Index2_Text	滌罪僧	23051	滌罪大師、円慧禅師がここで達磨武経を悟ったのですから、ここにはそれに関連する手がかりが残されているかもしれません。ここで探してみましょう。	涤罪大师，圆慧禅师既在这里领悟达摩武经，这里或许会有与此相关的线索留下，我们就在这里找寻看看吧。
4字連続	23058_1_Dlgs_Index23_Text	滌罪僧	23058	（円覚大師は二十余年間、天山惨案を忘れられず、江湖の各派が武功秘籍を巡って争い続けるよりも、各派が手を取り合って共に進み、互いに交流し議論する方が、真の武林の盛世を築けるかもしれない……）	（圆觉大师二十余年来，始终放不下天山惨案，与其江湖各派为武功秘籍争斗不休，不妨各派携手共进，彼此交流探讨，或许更能成就真正的武林盛世……）
4字連続	23058_1_Dlgs_Index8_Text	滌罪僧	23058	（そうだ……大道至理、殊途同帰。円慧禅師は極端に陥る前は既に得道の高僧であった。《楞伽経》四巻の経文は必ずや彼の心中に早くから存在していた。ゆえに達磨武経を修習する肝要は経典の中にもあり、経典の中にもないのだ。）	（是了……大道至理，殊途同归，圆慧禅师误入极端之前已是得道高僧，《楞伽经》四卷经文必早存他心中，是以修习达摩武经的关要既在经中又不在经中）。
4字連続	23066_1_Dlgs_Index15_Text	滌罪僧	23066	（大道至理、殊途同帰。少林に目を奪われてはならない。なぜなら少林は、宇文逸の本我の所在ではないからだ。）	（大道至理，殊途同归，不可将目光拘泥于少林，因为少林，并非宇文逸的本我所在。）
4字連続	24353_1_Dlgs_Index0_Text	None	24353	風雲訣、雲相太極、五霊心経、椿齢無尽玄、達摩武経……	
4字連続	24353_1_Dlgs_Index1_Text	None	24353	春秋惟一鑑、天魔六通、天極三垣炁、そして……玉龍訣。	春秋惟一鉴、天魔六通、天极三垣炁，以及……玉龙决。
4字連続	28022_9_Dlgs_Index0_Text	None	28022	東海仙島、青雲主人……	
4字連続	28736_2_Dlgs_Index3_Text	歩微月	28736	煙濤微茫、雲霞明滅、列缺霹靂、謫仙一現……この真の青雲扇法は、武学における《しなやかで優雅》という四文字を極め尽くしており、まさに謫仙の武学です。	烟涛微茫、云霞明灭，列缺霹雳、谪仙一现……这套真正的青云扇法，已穷尽武学中灵巧飘逸四字，端的是谪仙武学。
4字連続	29724_5_Dlgs_Index3_Text	慕遅	29724	日中則昃、月盈則食……壺に茶を注ぎ続ける唯一の方法は……まず壺の中の水を出すことです。	日中则昃，月盈则食……要想在壶中继续倒入茶水，唯一的办法……就是先将壶中之水倒出。
4字連続	30342_1_Dlgs_Index0_Text	None	30342	弟子宇文逸、道微師叔、慕遅荘主にお目にかかります。	弟子宇文逸，见过道微师叔、慕迟庄主。
4字連続	30825_7_Dlgs_Index0_Text	None	30825	たとえ天仏窟が龍潭虎穴、刀山火海であろうとも。	就算天佛窟是龙潭虎穴、刀山火海。
4字連続	5360_3_Dlgs_Index0_Text	None	5360	慧空大師、慧平大師！ご無事ですか！？	慧空大师，慧平大师！你们没事吧！？
4字連続	5703_1_Dlgs_Index0_Text	None	5703	道玄師叔、弟子宇文逸、拝謁に参りました。	道玄师叔，弟子宇文逸前来拜见。
4字連続	5997_1_Dlgs_Index5_Text	None	5997	（洪老幇主、円覚大師、そして師父……彼ら三人が教えてくれた口訣が、まさか完全な風雲訣心法だったとは……）	（洪老帮主、圆觉大师还有师父……他们三人传我的口诀，竟然正好就是完整的风云诀心法……）
4字連続	6057_13_Dlgs_Index4_Text	None	6057	皆様、考えてみてください。大会前夜、円覚大師が不幸にも被害に遭われたため、少林寺全体が以前にも増して厳重な警戒態勢にありました。	诸位不妨想一想，大会前夕因为圆觉大师不幸被害，整个少林戒备森严更胜往常。
4字連続	7012_1_Dlgs_Index0_Text	None	7012	元興大哥、欧陽荘主の今回の南下は、あまりにも急ぎすぎていると思いませんか？	元兴大哥，你觉不觉得欧阳庄主此番南下，太过急促了些？
4字連続	7044_2_Dlgs_Index0_Text	None	7044	鳳凰洞ですか……欧陽姑娘、欧陽荘主たちはどちらの方向へ出発されたかご存知ですか？	凤凰洞吗……欧阳姑娘，你知道欧阳庄主他们，是往哪个方向离开的吗？
4字連続	7102_2_Dlgs_Index0_Text	None	7102	ひどい怪我だ……滌罪大師、欧陽姑娘はなぜこれほど重傷を負われたのですか？他の五仙教の者たちも多くの死傷者が出ているようですが？	好重的伤……涤罪大师，欧阳姑娘为何会伤重至此？其他五仙教之人似乎也有许多伤亡？
4字連続	9261_1_Dlgs_Index0_Text	None	9261	道妙師叔、無心大哥……ここが平康の丐幇分舵ですか？	道妙师叔，无心大哥……此处就是平康的丐帮分舵吗？
4字連続	9262_1_Dlgs_Index0_Text	None	9262	道妙師叔、無心大哥……ここが平康の丐幇分舵ですか？	道妙师叔，无心大哥……此处就是平康的丐帮分舵吗？
無仮名10字+	17321_FinishingDlgs_Index1_Text	None	17321	至人無己、神人無功、聖人無名……	
無仮名10字+	21105_5_Dlgs_Index7_Text	仇無道	21105	天剣宗、悪人谷、名剣山荘……劇毒……	
無仮名10字+	21110_4_Dlgs_Index5_Text	仇無道	21110	天剣宗、悪人谷、名剣山荘……劇毒……	
無仮名10字+	24353_1_Dlgs_Index0_Text	None	24353	風雲訣、雲相太極、五霊心経、椿齢無尽玄、達摩武経……	
心内語(先頭200)	11004_OptionDlgs1_Index0_Text	None	11004	（張樵夫に伝えに戻ろう。）	（回去告诉樵夫吧。）
心内語(先頭200)	11011_FinishingDlgs_Index3_Text	張樵夫	11011	（どうやら、彼らの間は仲直りできそうだ。）	（看来，他们之间应该能和好了。）
心内語(先頭200)	11065_RequestDlgs_Index8_Text	趙啓志	11065	（北方？まさか辺境の兵か？それは厄介な場所だな。）	（北边？莫不是边军？那可不是好去处啊。）
心内語(先頭200)	11066_FinishingDlgs_Index4_Text	雑貨-趙氏	11066	（真実を伝えるのは忍びない。）	（真不忍心告诉她真相。）
心内語(先頭200)	11068_RequestDlgs_Index0_Text	None	11068	（薬を手に入れたから、猿の群れが出没する場所を見に行こう。）	（既然已经拿到药了，就去猴群出没的地方看看吧。）
心内語(先頭200)	11101_RequestDlgs_Index2_Text	小胖	11101	（まさか花盗人か……）	（难道是采花贼……）
心内語(先頭200)	11206_RequestDlgs_Index2_Text	成生	11206	（剣を抜く）ならば貴様も知っているはずだ、私を騙した末路を！	（拔剑）那你应该也清楚，骗我的下场！
心内語(先頭200)	11210_FinishingDlgs_Index0_Text	None	11210	（剣を抜く）掌柜、もう一度よく見てくれ！	（拔剑）掌柜的，你再仔细看看！
心内語(先頭200)	11222_OptionDlgs1_Index5_Text	百暁生	11222	（東方……一体どんな災いがあるのだろう？）	（东方……会有什么祸事呢？）
心内語(先頭200)	11224_OptionDlgs1_Index3_Text	百暁生	11224	（東方……一体どんな桃花があるのだろう？）	（东方……到底有什么桃花呢？）
心内語(先頭200)	11225_OptionDlgs1_Index3_Text	百暁生	11225	（また東方か……こいつに騙されているのではないか……）	（又是东方……我不会这人给骗了吧……）
心内語(先頭200)	11230_RequestDlgs_Index2_Text	空聞	11230	（なるほど、托鉢をしたことがなく、恥ずかしがっているのか。）	（原来是从没化过缘，害羞了。）
心内語(先頭200)	11230_RequestDlgs_Index6_Text	空聞	11230	（水筒を差し出す）これをどうぞ。	（递出水囊）给你这个。
心内語(先頭200)	11250_OptionDlgs2_Index0_Text	None	11250	（この屋敷の中の生臭さは、入り口に立っているだけでも強く感じられる。きっとろくなことではないだろう、私は余計な口出しをしないでおこう。）	（这院子里头的腥气浓得站在门口都能闻得到，一定没什么好事，我还是不要多管闲事了。）
心内語(先頭200)	11251_OptionDlgs2_Index0_Text	None	11251	（どうも嫌な予感がする……）	（总有种不太妙的预感……）
心内語(先頭200)	11263_FinishingDlgs_Index0_Text	None	11263	（どうやら、まずは李捕快に結果を伝えに戻るしかないようだ。）	（看来只能先回去，告诉李捕快事情的结果了。）
心内語(先頭200)	11266_FinishingDlgs_Index0_Text	None	11266	（まさかこの宋仵作がこれほど態度を硬くするとは……）	（没想到这宋仵作态度如此坚决……）
心内語(先頭200)	11266_FinishingDlgs_Index1_Text	None	11266	（どうやら、まずは李捕快に結果を伝えに戻るしかないようだ。）	（看来只能先回去，告诉李捕快事情的结果了。）
心内語(先頭200)	11280_FinishingDlgs_Index5_Text	幻紫	11280	（もしかして、これには別の関係があるのか？）	（莫非这里面还有别的牵扯？）
心内語(先頭200)	11281_RequestDlgs_Index0_Text	None	11281	（……）	
心内語(先頭200)	11281_RequestDlgs_Index1_Text	None	11281	（悪人谷……玄火教……掌法……ますます混乱してきた。）	（恶人谷……玄火教……掌法……好像越来越混乱了。）
心内語(先頭200)	11281_RequestDlgs_Index2_Text	None	11281	（……仕方ない、まずは宋仵作のところに行って、改めて相談し直そう。）	（……算了，我还是先去找宋仵作，再重新商量一下吧。）
心内語(先頭200)	11298_OptionDlgs1_Index2_Text	小雨	11298	（頭をなでる）いい子だね。兄ちゃんに教えてくれる？どこでお金をなくしたの？	（摸头）真乖，你和哥哥说一下，你的钱是在哪丢的？
心内語(先頭200)	11299_FinishingDlgs_Index1_Text	None	11299	（急いで少女に返しに行こう。きっと彼女は待ちきれないだろう。）	（赶快回去还给小女孩吧，她一定等急了。）
心内語(先頭200)	11301_RequestDlgs_Index4_Text	None	11301	（財布を開ける）お金もいらないのか……	（打开钱袋）钱也不要了吗……
心内語(先頭200)	11303_OptionDlgs1_Index0_Text	None	11303	（剣を抜く）泣くな！	（拔剑）不许哭！
心内語(先頭200)	11303_OptionDlgs2_Index0_Text	None	11303	（頭を抱える）もういい、もう泣くな！もう金は要求しないからいいだろう！	（头疼）好了好了，你别哭了！我不找你要钱了还不行吗！
心内語(先頭200)	11312_FinishingDlgs_Index0_Text	None	11312	（一口食べる）これは……王兄の腕前は……	（吃一口）这……王大哥你这手艺……
心内語(先頭200)	11312_FinishingDlgs_Index3_Text	王鈞	11312	（むしゃむしゃ食べる）王兄の腕前は、平康城の大料理人に決して劣らないですね！	（狼吞虎咽）王大哥你这手艺绝对不比平康城的大厨差多少啊！
心内語(先頭200)	11313_FinishingDlgs_Index7_Text	王鈞	11313	（小声で）心配いりません、さっきの麺をもう一度作ればいいのです。	（小声）别担心，你就把刚才那面再煮一遍好了。
